GAME_ID,GAME_DATE,SEASON,SEASON_TYPE,HOME_TEAM,HOME_REST_DAYS,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_FG_PCT,HOME_ROLL_PLUS_MINUS,AWAY_TEAM,AWAY_REST_DAYS,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_FG_PCT,AWAY_ROLL_PLUS_MINUS,HOME_WIN,SPLIT
0021500186,2015-11-20,2015,regular_season,POR,2.0,101.4,43.2,19.8,0.4559,-2.4,LAC,1.0,105.7,41.7,21.5,0.4627,-0.5,1,train
0021500187,2015-11-20,2015,regular_season,GSW,1.0,113.7,44.4,30.5,0.4873,14.1,CHI,2.0,101.5,47.6,23.2,0.4378,2.3,1,train
0021500188,2015-11-20,2015,regular_season,LAL,4.0,98.2,42.4,18.9,0.4210999999999999,-6.7,TOR,2.0,99.6,44.0,17.6,0.43069999999999997,0.9,0,train
0021500189,2015-11-21,2015,regular_season,ORL,3.0,99.1,45.9,21.6,0.4288,0.6,SAC,2.0,100.3,43.0,23.8,0.45330000000000004,-6.4,0,train
0021500190,2015-11-21,2015,regular_season,IND,3.0,97.0,44.0,20.7,0.4359,4.6,MIL,2.0,95.3,36.8,22.1,0.4548,-4.9,1,train
0021500191,2015-11-21,2015,regular_season,CLE,2.0,104.1,45.4,23.5,0.4707,5.4,ATL,3.0,102.7,39.3,27.2,0.47190000000000004,2.9,1,train
0021500193,2015-11-21,2015,regular_season,MIA,2.0,97.2,45.1,19.3,0.45599999999999996,4.2,PHI,1.0,90.4,43.1,19.9,0.4263,-14.3,1,train
0021500194,2015-11-21,2015,regular_season,HOU,1.0,103.5,45.2,21.5,0.42569999999999997,-3.2,NYK,1.0,93.9,44.8,19.6,0.4144,-1.0,0,train
0021500195,2015-11-21,2015,regular_season,SAS,1.0,100.5,46.9,26.7,0.4739000000000001,8.4,MEM,1.0,95.6,40.5,20.8,0.4191,-5.4,1,train
0021500196,2015-11-22,2015,regular_season,LAC,2.0,104.4,40.6,21.8,0.46320000000000006,-3.2,TOR,2.0,99.6,43.4,17.9,0.42919999999999997,0.9,0,train
0021500197,2015-11-22,2015,regular_season,BKN,2.0,97.7,45.5,21.9,0.43710000000000004,-6.7,BOS,2.0,103.2,45.8,24.4,0.4447,8.0,1,train
0021500198,2015-11-22,2015,regular_season,NOP,2.0,99.8,40.8,22.3,0.4474,-5.4,PHX,2.0,106.4,46.1,20.0,0.4545,5.5,1,train
